candidate_id,class_id,scale_bin,contrast_bin,morphology_bin,median_confidence,median_iou,std_confidence,std_iou,weakness_score,boundary_score,manifold_score,consensus_score,anchor_score,final_score,manifold_valid,selected,selection_group
dwbg_0_3407_2_000093,0,large,medium,compact,0.0,0.0,0.17153309285640717,0.2074607014656067,0.19203629032258066,0.0,0.5524754008856583,0.15032299925467496,0.019018674037431897,3.057492796806948e-14,True,False,
dwbg_0_3407_20_000094,0,medium,low,elongated,0.2132798731327057,0.6227818131446838,0.09789158403873444,0.025718098506331444,0.19997479838709675,0.6614571799085742,0.4612735390743407,0.5389953082128901,0.12030396001537415,0.02474333160536515,True,True,hard
dwbg_0_3407_21_000095,0,tiny,high,elongated,0.0,0.0,0.0015532419783994555,0.0,0.22580645161290325,0.0,0.1528178311173893,0.9922638691988337,0.03399162393576873,1.3437268108683092e-14,False,False,
dwbg_0_3407_22_000096,0,medium,medium,elongated,0.006980606354773045,0.0,0.004513181280344725,0.0,0.20564516129032256,0.0,0.7621854977854954,0.9776867992509719,0.17342733167572155,1.353036126804479e-13,True,False,
dwbg_0_3407_23_000097,0,tiny,high,elongated,0.0,0.0,0.0,0.0,0.22580645161290325,0.0,0.18934020654205108,1.0,0.04244373070006529,1.8603755192440355e-14,False,False,
dwbg_0_3407_24_000098,0,tiny,high,elongated,0.0,0.0,0.0029880362562835217,0.0,0.22580645161290325,0.0,0.07528866754832925,0.9851708694994878,0.01662692265774802,4.630059197294378e-15,False,False,
dwbg_0_3407_26_000099,0,tiny,medium,elongated,0.1781153678894043,0.6791992783546448,0.04770694673061371,0.06745249778032303,0.2338709677419355,0.42269155787849283,0.6972356328631685,0.5622564465638257,0.16395666152113458,0.028057453810098745,True,True,hard
dwbg_0_3407_27_000100,0,medium,high,elongated,0.012159798294305801,0.0,0.03496428579092026,0.0,0.1975806451612903,0.0,0.5806786351223548,0.8396069368719126,0.1161459467427643,8.010989809322124e-14,True,False,
dwbg_0_3407_28_000101,0,medium,high,elongated,0.0017616826808080077,0.0,0.001332783605903387,0.29353415966033936,0.1975806451612903,0.0,0.642276499892472,0.228930980436323,0.033765606353464137,4.866085453439142e-14,True,False,
dwbg_0_3407_29_000102,0,tiny,low,elongated,0.0,0.0,0.0,0.0,0.2282006048387097,0.0,0.6550952532948113,1.0,0.14662316820593174,1.2099668449301025e-13,True,False,
dwbg_0_3407_3_000103,0,tiny,high,elongated,0.020553506910800934,0.6978552341461182,0.0557461716234684,0.013165486045181751,0.22580645161290325,0.0,0.41943534058886794,0.7085332517537966,0.07163285370269795,5.163141113680406e-14,True,False,
dwbg_0_3407_30_000104,0,tiny,medium,compact,0.0,0.0,0.0,0.0,0.2283266129032258,0.0,0.6759826853297232,1.0,0.15128583385221228,1.2689949454217183e-13,True,False,
dwbg_0_3407_31_000105,0,tiny,high,elongated,0.002458004979416728,0.0,0.07047953456640244,0.19547484815120697,0.22580645161290325,0.0,0.7073262234398432,0.2645375918494247,0.0423103783918127,6.908912352542248e-14,True,False,
